"","id","dateSurvey","firstTime","sex","age","experience","degree","fellowsNumber","talentUseFull","ideaGen1","ideaGen2","ideaGen3","ideaSearch1","ideaSearch2","ideaSearch3","ideaCommunication1","ideaCommunication2","ideaCommunication3","ideaCommunication4","ideaImplementationStart1","ideaImplementationStart2","ideaImplementationStart3","ideaInvolvingOthers1","ideaInvolvingOthers2","ideaInvolvingOthers3","overcomingObstacles1","overcomingObstacles2","overcomingObstacles3","overcomingObstacles4","innovationOutput1","innovationOutput2","innovationOutput3","jobSatisfaction","talentUseWish","supportManagerial1","supportManagerial2","supportManagerial3","supportManagerial4","supportManagerial5","supportOrganizational1","supportOrganizational2","supportOrganizational3","zeroSumMindset","talentUseOpportunity","satisfyValueSefRespect","satisfyValueSafety","satisfyValueWarmRelations","satisfyValueFulfillment","satisfyValueAccomplishment","satisfyValueBeingRespected","satisfyValueBelonging","satisfyValueJoy","wantValueMore","comment","job","ideaGen","ideaSearch","ideaCommunication","ideaImplementationStart","ideaInvolvingOthers","overcomingObstacles","innovationOutput","supportManagerial","supportOrganizational"
"11",2015010902,2025-03-24 14:07:12,"1","Male",31,7,"Spec",0,"0",5,5,6,6,6,6,4,4,6,6,4,6,6,6,6,6,5.75,5,6,6,6,4,3,6,"1",5,1,6,6,6,1,1,4,1,"0",4,2,3,3,4,4,4,4,"satisfyValueSafety","","jobDoctor",5.33333333333333,6,5,5.33333333333333,6,6,4.33333333333333,4.8,2
"12",2015015077,2025-03-24 14:09:55,"1","Female",49,2,"Spec",0,"1",3,3,7,7,7,7,5,7,7,7,3,1,1,7,7,7,7,7,7,7,5,3,4,7,"1",7,7,7,7,7,7,7,7,6,"1",5,5,5,5,5,5,5,5,"satisfyValueJoyProcessAndAccomplishment","","jobNurse",4.33333333333333,7,6.5,1.66666666666667,7,7,4,7,7
"13",2015044285,2025-03-24 14:29:06,"1","Male",59,20,"Spec",1,"0",5,6,5,6.33333333333333,6,6,6,4,5,4,4,1,3,3,3,3,3.5,5,4,3,4,5,7,3,"1",1,1,1,1,1,1,1,1,6,"0",1,1,4,4,4,2,2,4,"satisfyValueFulfillment","","jobChief",5.33333333333333,7,4.75,2.66666666666667,3,2,5.33333333333333,1,1
"14",2015052290,2025-03-24 14:34:22,"1","Male",36,13,"Spec",3,"0",7,7,7,7,7,7,7,7,7,7,5,7,7,3,7,7,5.25,5,6,5,7,6,6,7,"1",4,4,2,5,7,3,4,2,6,"1",5,5,5,5,5,5,5,5,"satisfyValueBelonging","","jobChief",7,7,7,6.33333333333333,5.66666666666667,5,6.33333333333333,4.4,3
"15",2015071714,2025-03-24 14:48:36,"1","Male",44,18,"PhD",0,"0",5,5,4,6.66666666666667,7,6,5,7,5,3,4,1,1,5,7,4,3.25,3,3,4,4,3,3,3,"1",5,4,4,4,5,2,2,3,4,"0",1,1,1,4,3,3,2,2,"satisfyValueSafety","","jobDoctor",4.66666666666667,7,5,2,5.33333333333333,3,3.33333333333333,4.4,2.33333333333333
"16",2015071962,2025-03-24 14:48:48,"1","Female",32,1,"Spec",0,"1",3,6,7,7,7,7,7,7,7,7,1,1,7,7,7,7,5.5,5,6,7,5,4,5,7,"1",7,7,7,7,7,7,7,7,6,"1",5,5,5,5,5,5,5,5,"satisfyValueBeingRespected","","jobNurse",5.33333333333333,7,7,3,7,4,4.66666666666667,7,7
"17",2015073360,2025-03-24 14:49:57,"1","Female",37,6,"Spec",0,"1",5,3,5,6,6,6,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"1",5,3,4,5,3,4,4,4,3,"1",4,3,3,4,4,3,3,3,"satisfyValueSafety","","jobNurse",4.33333333333333,6,3.25,4,4,4,4,4,4
"18",2015081812,2025-03-24 14:56:48,"1","Male",40,3,"Spec",0,"0",5,5,5,7,7,7,6,6,6,5,5,5,5,5,7,6,5.5,5,6,6,6,5,6,7,"1",5,1,5,5,5,1,2,3,5,"1",2,2,5,5,5,2,2,4,"satisfyValueJoyProcessAndAccomplishment","","jobDoctor",5,7,5.75,5,6,5,5.66666666666667,4.2,2
"19",2015090371,2025-03-24 15:03:35,"1","Male",49,24,"Spec",0,"0",7,7,7,7,7,7,7,5,7,5,5,1,5,1,1,1,7,7,7,7,5,4,7,5,"1",2,1,2,5,4,1,1,1,6,"0",4,3,5,4,5,4,4,4,"satisfyValueJoyProcessAndAccomplishment","","jobDoctor",7,7,6,3.66666666666667,1,7,5.33333333333333,2.8,1
"20",2015090597,2025-03-24 15:03:45,"1","Male",49,24,"Spec",0,"0",7,7,7,7,7,7,7,5,7,5,5,1,5,1,1,1,7,7,7,7,5,4,7,5,"1",2,1,2,5,4,1,1,1,6,"0",4,3,5,4,5,4,4,4,"satisfyValueJoyProcessAndAccomplishment","","jobDoctor",7,7,6,3.66666666666667,1,7,5.33333333333333,2.8,1
"21",2015101576,2025-03-24 15:12:36,"1","Male",36,4,"Spec",3,"1",7,5,7,7,7,7,7,7,7,7,5,7,7,1,7,7,6.5,7,5,7,7,5,4,6,"1",4,4,7,7,7,1,1,1,6,"0",3,3,5,3,5,5,5,5,"satisfyValueJoyProcessAndAccomplishment","","jobChief",6.33333333333333,7,7,6.33333333333333,5,7,5.33333333333333,5.8,1
"22",2015111949,2025-03-24 15:21:08,"1","Male",29,3,"Spec",0,"0",4,4,7,7,7,7,5,4,4,5,3,3,3,3,3,4,4.5,5,5,5,5,5,5,4,"1",2,3,2,7,5,2,3,3,2,"1",2,1,2,3,3,3,3,3,"satisfyValueSafety","","jobDoctor",5,7,4.5,3,3.33333333333333,3,5,3.8,2.66666666666667
"23",2015112136,2025-03-24 15:21:17,"1","Male",37,12,"Spec",0,"1",7,7,7,7,7,7,7,7,7,7,7,5,7,4,7,7,7,7,7,7,7,7,1,7,"1",7,7,7,7,7,4,7,7,1,"0",5,2,5,5,5,5,5,5,"satisfyValueFulfillment","","jobDoctor",7,7,7,6.33333333333333,6,7,5,7,6
"24",2015125727,2025-03-24 15:32:10,"1","Male",30,5,"Spec",0,"1",3,4,7,4,2,3,1,1,2,1,1,1,1,1,1,1,4,3,6,4,3,1,1,5,"1",1,1,1,1,1,1,1,1,1,"0",0,5,5,5,5,5,5,5,"satisfyValueSafety","","jobDoctor",4.66666666666667,7,1.25,1,1,3,1.66666666666667,1,1
"25",2015129938,2025-03-24 15:35:34,"1","Male",36,10,"PhD",0,"0",3,7,7,6.33333333333333,5,7,7,7,7,7,7,7,7,7,4,7,5.5,7,5,4,6,7,7,2,"1",2,1,3,1,1,1,1,2,6,"1",5,5,5,5,5,5,5,5,"satisfyValueFulfillment","","jobDoctor",5.66666666666667,7,7,7,6,6,6.66666666666667,1.6,1.33333333333333
"26",2015223566,2025-03-24 16:54:49,"1","Male",41,16,"Spec",5,"0",6,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,6.75,7,7,7,6,6,6,5,"1",5,5,5,3,4,3,3,3,3,"1",5,5,4,5,5,5,5,5,"satisfyValueFulfillment","","jobChief",6.66666666666667,7,6.75,7,7,6,6,4.4,3
"27",2015225278,2025-03-24 16:56:14,"1","Male",28,3,"Spec",0,"0",5,5,6,6.33333333333333,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,"1",7,4,7,6,6,3,1,1,1,"0",3,1,2,3,5,3,2,4,"satisfyValueSefRespect","","jobDoctor",5.33333333333333,7,6,6,6,6,6,6,1.66666666666667
"28",2015200534,2025-03-24 16:34:47,"1","Male",35,6,"Spec",0,"1",7,7,7,7,7,7,7,7,7,7,7,1,7,1,7,1,6.25,4,7,7,7,4,7,2,"1",1,1,1,1,1,1,1,1,1,"0",5,3,5,5,5,5,5,3,"satisfyValueSafety","","jobDoctor",7,7,7,5,3,7,6,1,1
"29",2015218549,2025-03-24 16:50:16,"1","Male",34,5,"Spec",0,"0",4,3,5,7,7,7,6,1,1,1,1,1,1,1,1,6,3.25,4,5,3,1,1,2,1,"1",6,6,7,7,6,1,1,1,1,"0",1,0,2,3,3,4,4,4,"satisfyValueSafety","","jobDoctor",4,7,2.25,1,2.66666666666667,1,1.33333333333333,6.4,1
"30",2015232799,2025-03-24 17:02:57,"1","Male",48,22,"PhD",8,"1",7,7,7,7,7,7,7,7,7,7,7,5,7,5,7,7,5.25,5,5,6,7,7,5,7,"1",7,5,6,5,7,5,4,6,5,"1",5,4,4,5,5,5,5,5,"satisfyValueFulfillment","","jobChief",7,7,7,6.33333333333333,6.33333333333333,5,6.33333333333333,6,5
"31",2015234505,2025-03-24 17:04:30,"1","Male",34,6,"Spec",5,"1",5,6,5,4.33333333333333,4,5,5,4,6,6,4,2,6,7,7,5,5.25,5,6,5,5,4,5,5,"1",5,5,5,5,5,5,4,4,4,"0",4,4,4,4,4,4,4,4,"satisfyValueFulfillment","","jobDoctor",5.33333333333333,4,5.25,4,6.33333333333333,5,4.66666666666667,5,4.33333333333333
"32",2015244665,2025-03-24 17:13:55,"1","Male",40,14,"Spec",0,"1",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6.25,7,5,6,7,7,7,7,"1",7,7,7,7,7,4,5,7,6,"1",5,5,5,5,5,5,5,5,"satisfyValueSafety","","jobDoctor",7,7,7,7,7,7,7,7,5.33333333333333
"33",2015246183,2025-03-24 17:15:20,"1","Female",50,33,"Spec",0,"1",1,7,5,7,7,7,1,1,5,1,1,1,7,7,7,1,1.5,1,1,1,1,1,1,7,"1",7,7,7,7,5,5,7,7,6,"1",5,5,5,5,5,5,5,5,"satisfyValueWarmRelations","","jobNurse",4.33333333333333,7,2,3,5,3,1,6.6,6.33333333333333
"34",2015257767,2025-03-24 17:26:00,"1","Female",53,7,"Spec",0,"1",3,6,5,5.66666666666667,6,5,6,7,6,6,3,1,1,7,6,6,5.5,6,6,5,6,6,6,5,"1",4,2,2,3,4,2,1,2,6,"0",4,3,3,3,4,4,4,3,"satisfyValueSafety","У нас отличная молодая перспективная команда эндоваскулярных хирургов во главе с самым умным заведующим отделения Назаровым М.В.. Нашему отделению уже 6 лет и хочется верить, что при абсолютной поддержке вышестоящего руководства ГКБУЗ 18 г.Уфа, при абсолютном взаимопонимании  между отделением кардиологии и ОРИТ, работа нашего  ОРХМД иЛ будет приносить свои положительные результаты на благо нашего государства в оказании медицинской помощи гражданам РФ. ","jobNurse",4.66666666666667,6,6.25,1.66666666666667,6.33333333333333,5,6,3,1.66666666666667
"35",2015277787,2025-03-24 17:45:57,"1","Female",46,6,"Spec",0,"1",5,5,5,7,7,7,4,7,7,7,5,1,5,7,7,7,6.5,7,7,5,5,5,5,7,"1",7,7,7,7,7,7,7,5,6,"1",5,5,5,5,5,5,5,5,"satisfyValueFulfillment","👍🏻","jobNurse",5,7,6.25,3.66666666666667,7,7,5,7,6.33333333333333
"36",2015310542,2025-03-24 18:22:11,"1","Male",40,5,"PhD",0,"0",3,3,5,5.66666666666667,6,6,5,5,5,5,3,1,1,3,3,3,4.25,4,4,3,4,3,2,5,"0",4,2,4,1,4,1,1,1,2,"0",5,2,3,4,4,4,4,4,"satisfyValueSafety","","jobDoctor",3.66666666666667,5,5,1.66666666666667,3,6,3,3,1
"37",2015313923,2025-03-24 18:25:54,"1","Male",45,12,"Spec",7,"1",6,7,7,6.33333333333333,6,6,6,5,6,7,6,6,6,5,5,6,5.5,6,6,5,6,5,5,6,"1",5,4,5,4,6,3,3,3,6,"1",4,4,4,5,5,4,4,5,"satisfyValueFulfillment","","jobChief",6.66666666666667,7,6,6,5.33333333333333,5,5.33333333333333,4.8,3
"38",2015329775,2025-03-24 18:43:11,"1","Female",46,5,"Spec",5,"1",7,2,7,7,7,7,2,2,2,2,2,2,2,7,7,3,3,3,3,3,3,3,3,7,"1",7,2,2,7,2,1,1,3,1,"0",1,1,0,2,2,2,4,5,"satisfyValueWarmRelations","","jobNurse",5.33333333333333,7,2,2,5.66666666666667,3,3,4,1.66666666666667
"39",2015332104,2025-03-24 18:45:50,"1","Female",50,11,"Spec",0,"0",1,5,7,7,7,7,7,4,7,6,1,1,2,1,4,4,6,6,5,6,5,2,5,4,"1",6,1,1,3,3,1,1,2,5,"0",4,1,2,4,4,1,4,4,"satisfyValueSafety","","jobNurse",4.33333333333333,7,6,1.33333333333333,3,7,4,2.8,1.33333333333333
"40",2015389962,2025-03-24 19:51:48,"1","Female",51,9,"Spec",0,"1",2,7,6,7,7,7,7,7,7,7,7,1,5,7,6,6,5.5,5,5,5,6,6,7,7,"1",7,4,5,5,6,1,1,1,4,"0",4,2,4,4,5,5,5,5,"satisfyValueJoyProcessAndAccomplishment","","jobNurse",5,7,7,4.33333333333333,6.33333333333333,7,6.33333333333333,5.4,1
"41",2015393596,2025-03-24 19:55:52,"1","Female",44,2,"Spec",4,"1",5,4,3,5.66666666666667,5,5,5,5,5,7,7,7,7,7,7,7,5.5,5,5,5,7,5,7,5,"1",7,7,7,7,7,7,7,7,6,"1",5,5,5,5,5,5,5,5,"satisfyValueWarmRelations","","jobNurse",4,7,5.5,7,7,7,6.33333333333333,7,7
"42",2015400049,2025-03-24 20:03:23,"1","Female",47,14,"Spec",0,"1",1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1,1,7,7,7,7,"1",7,7,7,1,1,7,7,7,6,"0",5,5,5,5,5,5,5,5,"satisfyValueBelonging","","jobNurse",5,7,7,7,7,1,7,4.6,7
"43",2015402247,2025-03-24 20:06:05,"1","Female",57,12,"Spec",0,"1",1,7,1,7,7,7,1,1,7,1,1,1,1,1,1,1,5.5,7,7,1,1,1,1,1,"1",1,1,1,7,1,1,1,1,6,"1",0,0,0,5,5,0,0,5,"satisfyValueSafety","","jobNurse",3,7,2.5,1,1,7,1,2.2,1
"44",2015404203,2025-03-24 20:08:25,"1","Male",39,7,"Spec",0,"0",4,2,2,4.33333333333333,5,2,4,6,5,6,1,1,1,6,6,6,1.75,1,2,2,1,1,1,4,"1",3,1,3,6,2,1,1,1,6,"0",3,5,3,5,4,4,5,4,"satisfyValueSafety","","jobDoctor",2.66666666666667,6,5.25,1,6,2,1,3,1
"45",2015406610,2025-03-24 20:11:10,"1","Male",37,6,"Spec",0,"0",6,5,6,6,6,6,6,6,6,6,2,1,5,1,7,6,3.75,3,4,3,3,5,4,6,"1",6,1,5,7,6,1,5,3,1,"0",4,3,2,4,4,3,4,4,"satisfyValueSafety","","jobDoctor",5.66666666666667,6,6,2.66666666666667,4.66666666666667,5,4,5,3
"46",2015409700,2025-03-24 20:14:53,"1","Male",35,7,"Spec",0,"0",6,7,5,4.33333333333333,2,4,6,2,5,3,2,1,3,5,2,2,4.25,5,3,3,6,4,3,3,"1",1,1,2,7,1,1,1,1,5,"0",1,0,1,1,1,0,0,0,"satisfyValueSafety","","jobDoctor",6,7,4,2,3,6,4.33333333333333,2.4,1
"47",2015417609,2025-03-24 20:24:27,"1","Male",40,12,"Spec",0,"1",7,5,7,6.66666666666667,7,6,4,5,5,4,3,2,3,2,7,5,3,2,3,3,5,5,7,7,"1",2,3,3,5,4,1,1,1,1,"0",4,3,4,4,4,4,5,5,"satisfyValueSafety","","jobDoctor",6.33333333333333,7,4.5,2.66666666666667,4.66666666666667,4,5.66666666666667,3.4,1
"48",2015416107,2025-03-24 20:22:41,"1","Male",42,15,"Spec",2,"1",6,5,5,5.66666666666667,6,5,5,4,6,4,3,4,5,6,6,5,5,5,4,6,5,5,4,7,"1",6,4,6,5,6,4,3,4,4,"0",3,5,4,3,3,3,3,5,"satisfyValueSafety","","jobChief",5.33333333333333,6,4.75,4,5.66666666666667,5,4.66666666666667,5.4,3.66666666666667
"50",2015431380,2025-03-24 20:40:25,"1","Female",42,6,"Spec",6,"1",6,5,7,6.33333333333333,5,7,5,5,7,7,5,4,4,5,7,5,7,7,7,7,5,5,7,7,"1",7,7,7,7,7,7,7,7,4,"1",5,5,5,5,5,5,5,5,"satisfyValueBeingRespected","","jobNurse",6,7,6,4.33333333333333,5.66666666666667,7,5.66666666666667,7,7
"51",2015456101,2025-03-24 21:10:38,"1","Male",52,29,"Spec",3,"0",5,5,7,7,7,7,5,6,6,5,2,5,6,3,6,6,5,5,5,5,7,7,6,5,"1",5,2,5,6,5,5,4,5,6,"1",4,3,4,4,4,3,3,5,"satisfyValueSafety","","jobChief",5.66666666666667,7,5.5,4.33333333333333,5,5,6.66666666666667,4.6,4.66666666666667
"52",2015491152,2025-03-24 21:57:57,"1","Male",33,9,"Spec",0,"1",1,2,2,1.66666666666667,1,2,3,2,1,4,5,5,1,6,2,2,1.25,1,1,2,1,2,4,3,"1",2,2,3,1,5,5,7,7,6,"0",5,3,4,4,5,3,3,4,"satisfyValueJoyProcessAndAccomplishment","","jobDoctor",1.66666666666667,2,2.5,3.66666666666667,3.33333333333333,1,2.33333333333333,2.6,6.33333333333333
"53",2015507742,2025-03-24 22:22:39,"1","Female",50,6,"Spec",0,"1",1,7,7,7,7,7,7,7,7,7,7,1,1,1,7,1,5.5,7,7,7,7,1,7,7,"1",7,1,1,7,7,1,1,1,1,"1",5,0,0,0,5,5,5,5,"satisfyValueSafety","","jobNurse",5,7,7,3,3,1,5,4.6,1
"54",2015536634,2025-03-24 23:19:20,"1","Male",31,5,"Spec",0,"0",6,7,6,7,7,7,4,6,6,4,2,2,4,6,6,4,5.5,6,6,5,4,2,2,3,"1",4,2,4,7,5,1,1,4,5,"0",5,1,2,4,5,3,3,4,"satisfyValueSafety","","jobDoctor",6.33333333333333,7,5,2.66666666666667,5.33333333333333,5,2.66666666666667,4.4,2
"55",2015625396,2025-03-25 06:25:47,"1","Male",38,10,"Spec",0,"1",5,5,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,7,"1",6,6,6,6,6,7,6,6,6,"1",5,5,5,5,5,5,5,5,"satisfyValueSafety","","jobNurse",5.66666666666667,7,7,7,6.33333333333333,6,6,6,6.33333333333333
"56",2015634910,2025-03-25 06:45:50,"1","Female",42,7,"Spec",0,"1",1,1,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,7,7,"1",7,1,7,7,7,1,1,1,4,"1",0,5,4,3,5,3,4,3,"satisfyValueBeingRespected","","jobNurse",3,7,7,3,1,1,3,5.8,1
"57",2015635351,2025-03-25 06:46:41,"1","Male",32,5,"Spec",0,"1",4,5,5,5.33333333333333,5,5,4,5,4,4,3,3,3,5,5,5,3.5,2,4,4,2,2,2,5,"1",4,4,4,4,4,4,4,4,4,"1",4,4,4,4,4,4,4,4,"satisfyValueFulfillment","","jobDoctor",4.66666666666667,6,4.25,3,5,4,2,4,4
"58",2015803876,2025-03-25 10:10:39,"1","Male",40,13,"Spec",0,"1",7,7,7,6.66666666666667,7,7,4,6,7,7,5,4,7,6,4,5,4.25,3,3,7,7,6,7,7,"1",3,3,4,2,4,2,2,2,6,"0",5,5,5,5,5,5,5,5,"satisfyValueJoyProcessAndAccomplishment","","jobDoctor",7,6,6,5.33333333333333,5,4,6.66666666666667,3.2,2
"59",2015716657,2025-03-25 08:46:55,"1","Male",53,25,"DSc",80,"0",5,7,7,7,7,7,7,6,7,7,5,5,5,5,6,6,5,5,5,5,4,4,7,4,"1",3,1,2,2,2,2,2,2,4,"0",5,1,4,5,5,3,4,5,"satisfyValueBeingRespected","","jobChief",6.33333333333333,7,6.75,5,5.66666666666667,5,5,2,2
"60",2015727633,2025-03-25 08:59:28,"1","Female",52,25,"Spec",0,"1",4,5,7,6.33333333333333,7,5,1,1,4,7,7,1,4,7,1,4,1,1,1,1,4,1,1,1,"1",1,1,4,7,1,1,1,4,4,"0",3,0,3,5,5,5,5,5,"satisfyValueSafety","","jobDoctor",5.33333333333333,7,3.25,4,4,1,2,2.8,2
"61",2015744216,2025-03-25 09:17:02,"1","Female",38,5,"Spec",0,"1",7,7,7,7,7,7,7,7,7,7,7,1,7,7,7,7,7,7,7,7,7,2,7,7,"1",7,7,7,7,7,7,7,7,6,"1",5,5,5,5,5,5,5,5,"satisfyValueSafety","","jobDoctor",7,7,7,5,7,7,5.33333333333333,7,7
"62",2015948955,2025-03-25 12:09:38,"1","Female",43,20,"PhD",9,"1",4,7,7,7,7,7,5,5,7,7,1,1,5,7,7,7,5.75,7,6,5,5,5,6,5,"1",5,4,5,5,5,3,5,5,6,"0",5,5,4,5,5,5,5,5,"satisfyValueBeingRespected","","jobChief",6,7,6,2.33333333333333,7,5,5.33333333333333,4.8,4.33333333333333
"63",2015953844,2025-03-25 12:13:42,"1","Male",42,12,"Spec",0,"1",4,7,7,7,7,7,4,4,4,7,1,1,7,1,4,1,3.25,5,3,1,6,1,4,4,"1",7,5,1,7,4,1,1,1,3,"1",5,0,3,5,5,5,5,3,"satisfyValueFulfillment","","jobDoctor",6,7,4.75,3,2,4,3.66666666666667,4.8,1
"64",2016009328,2025-03-25 12:59:04,"1","Male",32,1,"Spec",0,"1",3,5,7,7,7,7,7,7,7,7,7,7,6,4,5,6,4,4,5,4,7,7,4,4,"1",5,7,6,5,6,6,4,5,5,"1",4,4,5,3,4,3,4,4,"satisfyValueJoyProcessAndAccomplishment","","jobDoctor",5,7,7,6.66666666666667,5,3,6,5.8,5
"65",2016055753,2025-03-25 13:38:07,"1","Male",38,12,"Spec",0,"0",7,6,6,4,5,3,3,6,7,4,3,2,4,5,7,5,6.75,7,7,6,6,6,5,4,"1",7,5,6,5,5,3,5,5,5,"0",5,4,4,4,5,5,4,4,"satisfyValueSafety","","jobChief",6.33333333333333,4,5,3,5.66666666666667,7,5.66666666666667,5.6,4.33333333333333
"66",2016283512,2025-03-25 16:54:31,"1","Male",32,3,"Spec",0,"1",5,6,5,7,7,7,3,2,6,7,2,5,6,6,6,6,6,6,6,6,6,5,4,7,"1",4,1,3,7,5,2,5,6,2,"0",4,4,4,4,5,4,4,4,"satisfyValueSafety","","jobDoctor",5.33333333333333,7,4.5,4.33333333333333,6,6,5,4,4.33333333333333
"67",2016356087,2025-03-25 18:07:54,"1","Female",56,19,"Spec",0,"1",4,7,7,7,7,7,7,4,7,4,1,7,7,7,7,7,7,7,7,7,7,7,7,7,"1",7,7,7,7,7,7,7,7,6,"0",4,5,5,5,5,5,5,5,"satisfyValueJoyProcessAndAccomplishment","Внедрение  новых операций,и аппаратуры","jobNurse",6,7,5.5,5,7,7,7,7,7
"68",2016390022,2025-03-25 18:45:12,"1","Male",30,5,"Spec",0,"0",4,7,7,7,7,7,4,5,5,2,2,1,1,1,1,1,4,4,4,4,4,2,2,5,"1",2,2,2,2,2,2,2,2,6,"0",3,2,3,3,3,3,3,3,"satisfyValueFulfillment","","jobDoctor",6,7,4,1.33333333333333,1,4,2.66666666666667,2,2
